UV(Epoch)_Rep	Hours	Total Cells/mL
0_1	0	130000
0_1	8	75000
0_1	33	270000
0_1	57	580000
0_1	81	710000
0.5_1	96	117500
0.5_1	104	82500
0.5_1	127	127500
0.5_1	151	110000
0.5_1	176	230000
0.5_1	203	277500
1_1	219	102500
1_1	227	55000
1_1	251	60000
1_1	276	27500
1_1	371	22500
1_1	418	20000
1_1	440	25000
1_1	465	42500
0_2	0	85000
0_2	8	82500
0_2	33	192500
0_2	57	710000
0_2	81	717500
0.5_2	96	57500
0.5_2	104	97500
0.5_2	127	70000
0.5_2	151	122500
0.5_2	176	187500
0.5_2	203	157500
1_2	219	82500
1_2	227	40000
1_2	251	22500
1_2	276	5000
1_2	371	35000
1_2	418	42500
1_2	440	50000
1_2	465	45000
0_3	0	85000
0_3	8	82500
0_3	33	172500
0_3	57	760000
0_3	81	652500
0.5_3	96	87500
0.5_3	104	117500
0.5_3	127	110000
0.5_3	151	177500
0.5_3	176	167500
0.5_3	203	250000
1_3	219	70000
1_3	227	67500
1_3	251	35000
1_3	276	10000
1_3	371	10000
1_3	418	12500
1_3	440	10000
1_3	465	37500
0_4	0	100000
0_4	14	175000
0_4	36	512500
0_4	60	1065000
0_4	86	1500000
0.5_4	88	80000
0.5_4	110	135000
0.5_4	133	220000
0.5_4	160	225000
0.5_4	184	242500
1_4	205	235000
1_4	210	75000
1_4	230	75000
1_4	256	55000
1_4	276	90000
1_4	300	95000
0_5	0	100000
0_5	14	172500
0_5	36	542500
0_5	60	1227500
0_5	86	1240000
0.5_5	88	97500
0.5_5	110	170000
0.5_5	133	235000
0.5_5	160	252500
0.5_5	184	347500
0.5_5	205	300000
1_5	210	90000
1_5	230	107500
1_5	256	132500
1_5	276	272500
1_5	300	455000
0_6	0	90000
0_6	27.5	825000
0_6	48	1030000
0_6	72	1072500
0.5_6	96	115000
0.5_6	121	215000
0.5_6	145	472500
0.5_6	169	785000
0.5_6	192.5	1082500
0.5_6	217	817500
0_7	0	105000
0_7	27.5	690000
0_7	48	1022500
0_7	72	1287500
0.5_7	96	105000
0.5_7	121	102500
0.5_7	145	347500
0.5_7	169	730000
0.5_7	192.5	977500
0.5_7	217	852500
